An	Durata	Titlu	Categorie	Premii
1979	94	Monty Python's Life of Brian	Comedy	Nu
1945	94	Blood on the Sun	Drama	Nu
1981	94	Deadline	Mystery	Nu
1989	94	Wrong Arm of the Law, The	Comedy	Nu
1955	95	Naked Night, The	Drama	Nu
1992	95	Alan & Naomi	Drama	Nu
1987	95	Blind Date	Comedy	Nu
1984	95	Samson & Delilah	Drama	Nu
1991	95	Night Gallery	Horror	Nu
1989	95	Rape of the Sabines, The	Action	Nu
1986	95	Between Two Women	Drama	Nu
1988	95	Gor	Action	Nu
1987	95	Surrender	Comedy	Nu
1983	95	Valley Girl	Comedy	Nu
1966	95	Masculine Feminine	Drama	Nu
1931	95	Arrowsmith	Drama	Nu
1985	95	Stark	Mystery	Nu
1952	95	Pat & Mike	Comedy	Nu
1992	95	Juice	Drama	Nu
1987	95	Allnighter, The	Comedy	Nu
1987	95	Bullseye!	Comedy	Nu
1987	95	Under Cover	Mystery	Nu
1987	95	Kitchen Toto, THe	Drama	Nu
1941	95	Mr. & Mrs. Smith	Comedy	Nu
1988	95	Gator Bait II	Action	Nu
1992	95	Riff Raff	Comedy	Nu
1953	95	How to Marry a Millionaire	Comedy	Nu
1993	95	Honeymoon in Vegas	Comedy	Nu
1984	95	Getting Physical	Drama	Nu
1990	95	Torn Apart	Drama	Nu
1990	95	Dangerous Pursuit	Mystery	Nu
1924	95	Kriemhild's Revenge, The Nibelungenlied	Drama	Nu
1992	95	Until They Sail	Drama	Nu
1992	95	Violent Men, The	Action	Nu
1991	95	Dogfight	Action	Nu
1963	95	Silence, The	Drama	Nu
1940	95	Dark Command	Western	Nu
1985	95	Teen Wolf	Drama	Nu
1966	95	A Big Hand for the Little Lady	Comedy	Nu
1979	95	Scum	Action	Nu
1953	95	I Confess	Drama	Nu
1930	95	Murder	Mystery	Nu
1976	95	Creature from Black Lake	Horror	Nu
1991	95	Fury	Drama	Nu
1985	95	Code Name, Emerald	Drama	Nu
1987	95	Hearts of Fire	Drama	Nu
1975	95	Great McGonagall, The	Comedy	Nu
1956	96	Seventh Seal, The	Drama	Nu
1996	96	Island of Dr. Moreau, The	Horror	Nu
1988	96	Split Decisions	Drama	Nu
1988	96	Nightmare at Noon	Action	Nu
1971	96	Carnal Knowledge	Drama	Nu
1958	96	Torpedo Run	War	Nu
1991	96	Hearts of Darkness, A Filmmaker's Apocalypse	Drama	Nu
1954	96	A Lesson in Love	Comedy	Nu
1939	96	Old Maid, The	Drama	Nu
1986	96	Fly, The	Horror	Nu
1985	96	Marbella	Action	Nu
1981	96	Cannonball Run, The	Comedy	Nu
1944	96	Jane Eyre	Drama	Nu
1935	96	Anna Karenina	Drama	Da
1928	96	Mysterious Lady, The	Drama	Nu
1987	96	Nights in White Satin	Drama	Nu
1991	96	Intimate Stranger	Mystery	Nu
1979	96	Manhattan	Comedy	Da
1989	96	Dead Calm	Mystery	Nu
1984	96	Unfaithfully Yours	Comedy	Nu
1938	96	Lady Vanishes	Mystery	Nu
1988	96	Glitz	Mystery	Nu
1986	96	Pretty in Pink	Drama	Nu
1992	96	Shooting Elizabeth	Mystery	Nu
1947	96	Angel & the Badman	Western	Nu
1985	96	Out of the Darkness	Mystery	Nu
1992	96	Defense of the Realm	Drama	Nu
1986	96	Clockwise	Comedy	Nu
1984	96	Dangerous Moves	Drama	Da
1988	96	Baja Oklahoma	Comedy	Nu
1984	96	Soggy Bottom U. S. A.	Comedy	Nu
1973	96	Bang the Drum Slowly	Drama	Nu
1953	96	Dangerous When Wet	Music	Nu
1992	96	A Day in October	Drama	Nu
